id,pause-vcd-switches,pause_portion,vcd_portion
05068-000,3.0,0.7102803738317757,0.2897196261682243
05068-001,8.0,0.4835443037974684,0.5164556962025316
05068-002,2.0,0.826530612244898,0.17346938775510204
05068-003,9.0,0.3643410852713178,0.6356589147286822
05068-004,0.0,1.0,0.0
05068-005,8.0,0.8457943925233645,0.1542056074766355
05068-006,0.0,1.0,0.0
05068-007,1.0,0.3218390804597701,0.6781609195402298
05068-008,9.0,0.20157068062827224,0.7984293193717278
05068-009,0.0,0.0,1.0
05068-010,0.0,1.0,0.0
07920-000,6.0,0.8967032967032967,0.10329670329670329
07920-001,6.0,0.564748201438849,0.4352517985611511
07920-002,22.0,0.7746113989637305,0.22538860103626943
07920-003,0.0,1.0,0.0
11739-000,1.0,0.9642857142857143,0.03571428571428571
11739-001,0.0,1.0,0.0
11739-002,4.0,0.6884057971014492,0.3115942028985507
11739-003,0.0,1.0,0.0
11739-004,1.0,0.14285714285714285,0.8571428571428571
11739-005,9.0,0.8126410835214447,0.1873589164785553
11739-006,6.0,0.7351778656126482,0.2648221343873518
11739-007,1.0,0.7631578947368421,0.23684210526315788
11739-008,1.0,0.7368421052631579,0.2631578947368421
13691-000,4.0,0.23863636363636365,0.7613636363636364
13691-001,0.0,0.0,1.0
13691-002,3.0,0.11834319526627218,0.8816568047337278
13691-003,4.0,0.4576271186440678,0.5423728813559322
13691-004,7.0,0.3246753246753247,0.6753246753246753
13691-005,11.0,0.2911184210526316,0.7088815789473685
13691-006,8.0,0.7089552238805971,0.291044776119403
13691-007,1.0,0.28378378378378377,0.7162162162162162
13691-008,1.0,0.1326530612244898,0.8673469387755102
16486-000,2.0,0.6617647058823529,0.3382352941176471
16486-001,13.0,0.45103092783505155,0.5489690721649485
16486-002,0.0,1.0,0.0
18771-000,4.0,0.359375,0.640625
18771-001,20.0,0.3030888030888031,0.696911196911197
18771-002,8.0,0.6170212765957447,0.3829787234042553
18771-003,1.0,0.6176470588235294,0.38235294117647056
23789-000,2.0,0.6578947368421053,0.34210526315789475
23789-001,0.0,1.0,0.0
23789-002,4.0,0.3203125,0.6796875
23789-003,5.0,0.43617021276595747,0.5638297872340425
23789-004,14.0,0.5477386934673367,0.45226130653266333
23789-005,2.0,0.3684210526315789,0.631578947368421
25066-000,8.0,0.4090909090909091,0.5909090909090909
25066-001,2.0,0.717948717948718,0.28205128205128205
25066-002,11.0,0.405982905982906,0.594017094017094
25066-003,10.0,0.5932835820895522,0.40671641791044777
25066-004,1.0,0.16666666666666666,0.8333333333333334
25066-005,4.0,0.2127659574468085,0.7872340425531915
25066-006,1.0,0.1724137931034483,0.8275862068965517
25066-007,2.0,0.3541666666666667,0.6458333333333334
25066-008,3.0,0.1784037558685446,0.8215962441314554
25066-009,4.0,0.43243243243243246,0.5675675675675675
25066-010,3.0,0.25,0.75
25066-011,8.0,0.4201388888888889,0.5798611111111112
25066-012,6.0,0.40329218106995884,0.5967078189300411
25066-013,3.0,0.5769230769230769,0.4230769230769231
25066-014,0.0,0.0,1.0
25066-015,0.0,0.0,1.0
25066-016,4.0,0.689873417721519,0.310126582278481
26753-000,18.0,0.7596996245306633,0.24030037546933666
26753-001,2.0,0.4588235294117647,0.5411764705882353
26753-002,17.0,0.5188087774294671,0.48119122257053293
26753-003,2.0,0.7849462365591398,0.21505376344086022
26753-004,0.0,0.0,1.0
26753-005,4.0,0.2857142857142857,0.7142857142857143
26753-006,2.0,0.925531914893617,0.07446808510638298
26753-007,2.0,0.6428571428571429,0.35714285714285715
26753-008,12.0,0.8052325581395349,0.19476744186046513
26753-009,10.0,0.7540453074433657,0.2459546925566343
26753-010,13.0,0.8672638436482085,0.13273615635179153
26753-011,0.0,0.0,1.0
26753-012,2.0,0.16101694915254236,0.8389830508474576
26753-013,0.0,1.0,0.0
26753-014,14.0,0.8247422680412371,0.17525773195876287
26753-015,8.0,0.8068862275449101,0.19311377245508982
26753-016,4.0,0.3669724770642202,0.6330275229357798
26753-017,39.0,0.7484157160963245,0.25158428390367554
26753-018,4.0,0.6111111111111112,0.3888888888888889
26753-019,5.0,0.7074468085106383,0.2925531914893617
26753-020,3.0,0.5925925925925926,0.4074074074074074
26753-021,33.0,0.75,0.25
26753-022,6.0,0.7206703910614525,0.27932960893854747
26753-023,10.0,0.9053398058252428,0.09466019417475728
26753-024,4.0,0.6079136690647482,0.3920863309352518
26753-025,61.0,0.7603899435608004,0.23961005643919958
29735-000,0.0,1.0,0.0
29758-000,8.0,0.6759259259259259,0.32407407407407407
29758-001,12.0,0.6127049180327869,0.38729508196721313
29758-002,2.0,0.8959537572254336,0.10404624277456648
29758-003,2.0,0.8838383838383839,0.11616161616161616
29758-004,6.0,0.850609756097561,0.14939024390243902
29758-005,14.0,0.6903690369036903,0.3096309630963096
29758-006,0.0,0.0,1.0
29758-007,2.0,0.08783783783783784,0.9121621621621622
35063-000,1.0,0.25,0.75
35063-001,2.0,0.5789473684210527,0.42105263157894735
35063-002,2.0,0.6911764705882353,0.3088235294117647
35063-003,17.0,0.5762032085561497,0.42379679144385024
35063-004,7.0,0.5570469798657718,0.4429530201342282
35063-005,3.0,0.75,0.25
35063-006,11.0,0.610726643598616,0.3892733564013841
35063-007,20.0,0.552801724137931,0.44719827586206895
35063-008,28.0,0.4592833876221498,0.5407166123778502
44209-000,0.0,1.0,0.0
44209-001,22.0,0.4311740890688259,0.5688259109311741
44209-002,1.0,0.045454545454545456,0.9545454545454546
44209-003,9.0,0.42386831275720166,0.5761316872427984
44209-004,10.0,0.4238095238095238,0.5761904761904761
44209-005,2.0,0.9139072847682119,0.08609271523178808
44209-006,38.0,0.33953834698436336,0.6604616530156366
44209-007,18.0,0.42,0.58
44209-008,5.0,0.5604838709677419,0.43951612903225806
44209-009,5.0,0.24630541871921183,0.7536945812807881
44209-010,0.0,0.0,1.0
44209-011,9.0,0.30978260869565216,0.6902173913043478
44574-000,2.0,0.30288461538461536,0.6971153846153846
44574-001,4.0,0.30522088353413657,0.6947791164658634
44574-002,1.0,0.07228915662650602,0.927710843373494
44574-003,5.0,0.5528846153846154,0.44711538461538464
44574-004,2.0,0.6029411764705882,0.39705882352941174
44574-005,3.0,0.16101694915254236,0.8389830508474576
44574-006,1.0,0.17391304347826086,0.8260869565217391
44574-007,0.0,0.0,1.0
44574-008,2.0,0.08860759493670886,0.9113924050632911
45758-000,1.0,0.8970588235294118,0.10294117647058823
45758-001,13.0,0.5040983606557377,0.4959016393442623
45758-002,8.0,0.5891472868217055,0.4108527131782946
45758-003,23.0,0.40827147401908803,0.591728525980912
45758-004,6.0,0.6477987421383647,0.3522012578616352
45758-005,1.0,0.15384615384615385,0.8461538461538461
45758-006,0.0,0.0,1.0
45758-007,2.0,0.030303030303030304,0.9696969696969697
46352-000,0.0,1.0,0.0
46352-001,25.0,0.46494464944649444,0.5350553505535055
46352-002,11.0,0.3197278911564626,0.6802721088435374
46352-003,4.0,0.6304347826086957,0.3695652173913043
46352-004,2.0,0.9020979020979021,0.0979020979020979
47647-000,6.0,0.28353658536585363,0.7164634146341463
47647-001,4.0,0.8682170542635659,0.13178294573643412
47647-002,4.0,0.24596774193548387,0.7540322580645161
47647-003,0.0,0.0,1.0
47647-004,4.0,0.6148648648648649,0.38513513513513514
47647-005,2.0,0.7040816326530612,0.29591836734693877
47939-000,2.0,0.15254237288135594,0.847457627118644
47939-001,1.0,0.39285714285714285,0.6071428571428571
47939-002,5.0,0.7158671586715867,0.28413284132841327
47939-003,4.0,0.22580645161290322,0.7741935483870968
47939-004,3.0,0.32061068702290074,0.6793893129770993
47939-005,7.0,0.6004784688995215,0.39952153110047844
47939-006,12.0,0.42548596112311016,0.5745140388768899
47939-007,2.0,0.9035087719298246,0.09649122807017543
47939-008,10.0,0.7451923076923077,0.2548076923076923
47939-009,8.0,0.3374384236453202,0.6625615763546798
47939-010,14.0,0.41676792223572295,0.583232077764277
47939-011,1.0,0.28378378378378377,0.7162162162162162
47939-012,3.0,0.5408163265306123,0.45918367346938777
47939-013,0.0,0.0,1.0
47939-014,16.0,0.5242214532871973,0.4757785467128028
47939-015,8.0,0.616822429906542,0.38317757009345793
47939-016,2.0,0.46634615384615385,0.5336538461538461
47939-017,3.0,0.6009174311926605,0.39908256880733944
47939-018,0.0,0.0,1.0
47939-019,1.0,0.07352941176470588,0.9264705882352942
52053-000,4.0,0.29107981220657275,0.7089201877934272
52053-001,4.0,0.5859375,0.4140625
52053-002,5.0,0.3584905660377358,0.6415094339622641
52053-003,4.0,0.45454545454545453,0.5454545454545454
52053-004,10.0,0.3698224852071006,0.6301775147928994
52053-005,15.0,0.40460526315789475,0.5953947368421053
52053-006,8.0,0.47315436241610737,0.5268456375838926
52053-007,1.0,0.3088235294117647,0.6911764705882353
52053-008,0.0,0.0,1.0
52053-009,7.0,0.4722222222222222,0.5277777777777778
52053-010,1.0,0.5151515151515151,0.48484848484848486
52053-011,4.0,0.3073394495412844,0.6926605504587156
52053-012,1.0,0.3620689655172414,0.6379310344827587
52053-013,1.0,0.14285714285714285,0.8571428571428571
52053-014,16.0,0.3277634961439589,0.6722365038560412
56896-000,8.0,0.5100502512562815,0.4899497487437186
56896-001,4.0,0.42134831460674155,0.5786516853932584
56896-002,9.0,0.3207885304659498,0.6792114695340502
56896-003,4.0,0.5084745762711864,0.4915254237288136
56896-004,9.0,0.3089171974522293,0.6910828025477707
56896-005,2.0,0.12359550561797752,0.8764044943820225
56896-006,4.0,0.1424581005586592,0.8575418994413407
56896-007,0.0,0.0,1.0
56896-008,2.0,0.08783783783783784,0.9121621621621622
56896-009,3.0,0.20224719101123595,0.797752808988764
56896-010,6.0,0.39361702127659576,0.6063829787234043
56896-011,3.0,0.10820895522388059,0.8917910447761194
56896-012,2.0,0.0539568345323741,0.9460431654676259
56896-013,0.0,0.0,1.0
56896-014,2.0,0.3333333333333333,0.6666666666666666
56896-015,0.0,0.0,1.0
56896-016,0.0,0.0,1.0
56896-017,6.0,0.28689883913764513,0.7131011608623549
56896-018,5.0,0.05405405405405406,0.9459459459459459
56896-019,1.0,0.1323529411764706,0.8676470588235294
56896-020,2.0,0.1171875,0.8828125
56896-021,2.0,0.23076923076923078,0.7692307692307693
56896-022,3.0,0.2517985611510791,0.7482014388489209
56896-023,7.0,0.51010101010101,0.4898989898989899
56896-024,5.0,0.25,0.75
56896-025,1.0,0.09090909090909091,0.9090909090909091
56896-026,10.0,0.39932885906040266,0.6006711409395973
56896-027,3.0,0.14804469273743018,0.8519553072625698
56896-028,2.0,0.5,0.5
56896-029,4.0,0.1056701030927835,0.8943298969072165
56896-030,0.0,0.0,1.0
56896-031,8.0,0.37276785714285715,0.6272321428571429
56896-032,2.0,0.4444444444444444,0.5555555555555556
56896-033,3.0,0.26811594202898553,0.7318840579710145
58812-000,4.0,0.376271186440678,0.6237288135593221
58812-001,10.0,0.3879093198992443,0.6120906801007556
58812-002,1.0,0.07920792079207921,0.9207920792079208
58812-003,3.0,0.53125,0.46875
58812-004,3.0,0.875,0.125
61496-000,7.0,0.26108374384236455,0.7389162561576355
61496-001,0.0,0.0,1.0
61496-002,7.0,0.591743119266055,0.40825688073394495
61496-003,4.0,0.14583333333333334,0.8541666666666666
61496-004,5.0,0.40358744394618834,0.5964125560538116
61496-005,2.0,0.6881720430107527,0.3118279569892473
61496-006,4.0,0.07065217391304347,0.9293478260869565
61496-007,12.0,0.5798816568047337,0.42011834319526625
61496-008,8.0,0.23011363636363635,0.7698863636363636
61496-009,1.0,0.34210526315789475,0.6578947368421053
68117-000,9.0,0.7064393939393939,0.2935606060606061
68117-001,5.0,0.5630252100840336,0.4369747899159664
68117-002,3.0,0.5126582278481012,0.4873417721518987
68117-003,8.0,0.514367816091954,0.48563218390804597
68117-004,1.0,0.7413793103448276,0.25862068965517243
68117-005,22.0,0.553763440860215,0.44623655913978494
68117-006,6.0,0.7976190476190477,0.20238095238095238
68117-007,5.0,0.20161290322580644,0.7983870967741935
68117-008,20.0,0.2864321608040201,0.7135678391959799
68117-009,0.0,1.0,0.0
71834-000,34.0,0.4898828541001065,0.5101171458998935
71834-001,16.0,0.3277634961439589,0.6722365038560412
71834-002,42.0,0.3654791154791155,0.6345208845208845
71834-003,3.0,0.47058823529411764,0.5294117647058824
71834-004,2.0,0.33783783783783783,0.6621621621621622
71834-005,0.0,0.0,1.0
71834-006,7.0,0.18341708542713567,0.8165829145728644
71834-007,2.0,0.022727272727272728,0.9772727272727273
71834-008,3.0,0.7407407407407407,0.25925925925925924
71834-009,1.0,0.1896551724137931,0.8103448275862069
71834-010,2.0,0.4915254237288136,0.5084745762711864
