id,frameTime,voiceProb_sma_max,voiceProb_sma_min,voiceProb_sma_range,voiceProb_sma_linregc1,voiceProb_sma_linregerrA,voiceProb_sma_stddev,voiceProb_sma_skewness,voiceProb_sma_kurtosis,voiceProb_sma_amean,voiceProb_sma_duration,voiceProb_sma_upleveltime0.0,voiceProb_sma_downleveltime0.0,HNR_sma_max,HNR_sma_min,HNR_sma_range,HNR_sma_linregc1,HNR_sma_linregerrA,HNR_sma_stddev,HNR_sma_skewness,HNR_sma_kurtosis,HNR_sma_amean,HNR_sma_duration,HNR_sma_upleveltime0.0,HNR_sma_downleveltime0.0,F0_sma_max,F0_sma_min,F0_sma_range,F0_sma_linregc1,F0_sma_linregerrA,F0_sma_stddev,F0_sma_skewness,F0_sma_kurtosis,F0_sma_amean,F0_sma_duration,F0_sma_upleveltime0.0,F0_sma_downleveltime0.0,jitterLocal_sma_max,jitterLocal_sma_min,jitterLocal_sma_range,jitterLocal_sma_linregc1,jitterLocal_sma_linregerrA,jitterLocal_sma_stddev,jitterLocal_sma_skewness,jitterLocal_sma_kurtosis,jitterLocal_sma_amean,jitterLocal_sma_duration,jitterLocal_sma_upleveltime0.0,jitterLocal_sma_downleveltime0.0,jitterDDP_sma_max,jitterDDP_sma_min,jitterDDP_sma_range,jitterDDP_sma_linregc1,jitterDDP_sma_linregerrA,jitterDDP_sma_stddev,jitterDDP_sma_skewness,jitterDDP_sma_kurtosis,jitterDDP_sma_amean,jitterDDP_sma_duration,jitterDDP_sma_upleveltime0.0,jitterDDP_sma_downleveltime0.0,jitterLocEnv_sma_max,jitterLocEnv_sma_min,jitterLocEnv_sma_range,jitterLocEnv_sma_linregc1,jitterLocEnv_sma_linregerrA,jitterLocEnv_sma_stddev,jitterLocEnv_sma_skewness,jitterLocEnv_sma_kurtosis,jitterLocEnv_sma_amean,jitterLocEnv_sma_duration,jitterLocEnv_sma_upleveltime0.0,jitterLocEnv_sma_downleveltime0.0,jitterDEnv_sma_max,jitterDEnv_sma_min,jitterDEnv_sma_range,jitterDEnv_sma_linregc1,jitterDEnv_sma_linregerrA,jitterDEnv_sma_stddev,jitterDEnv_sma_skewness,jitterDEnv_sma_kurtosis,jitterDEnv_sma_amean,jitterDEnv_sma_duration,jitterDEnv_sma_upleveltime0.0,jitterDEnv_sma_downleveltime0.0,shimmerLocal_sma_max,shimmerLocal_sma_min,shimmerLocal_sma_range,shimmerLocal_sma_linregc1,shimmerLocal_sma_linregerrA,shimmerLocal_sma_stddev,shimmerLocal_sma_skewness,shimmerLocal_sma_kurtosis,shimmerLocal_sma_amean,shimmerLocal_sma_duration,shimmerLocal_sma_upleveltime0.0,shimmerLocal_sma_downleveltime0.0,shimmerLocEnv_sma_max,shimmerLocEnv_sma_min,shimmerLocEnv_sma_range,shimmerLocEnv_sma_linregc1,shimmerLocEnv_sma_linregerrA,shimmerLocEnv_sma_stddev,shimmerLocEnv_sma_skewness,shimmerLocEnv_sma_kurtosis,shimmerLocEnv_sma_amean,shimmerLocEnv_sma_duration,shimmerLocEnv_sma_upleveltime0.0,shimmerLocEnv_sma_downleveltime0.0,pcm_intensity_sma_max,pcm_intensity_sma_min,pcm_intensity_sma_range,pcm_intensity_sma_linregc1,pcm_intensity_sma_linregerrA,pcm_intensity_sma_stddev,pcm_intensity_sma_skewness,pcm_intensity_sma_kurtosis,pcm_intensity_sma_amean,pcm_intensity_sma_duration,pcm_intensity_sma_upleveltime0.0,pcm_intensity_sma_downleveltime0.0,speakingRate_sma_max,speakingRate_sma_min,speakingRate_sma_range,speakingRate_sma_linregc1,speakingRate_sma_linregerrA,speakingRate_sma_stddev,speakingRate_sma_skewness,speakingRate_sma_kurtosis,speakingRate_sma_amean,speakingRate_sma_duration,speakingRate_sma_upleveltime0.0,speakingRate_sma_downleveltime0.0,label
26753-019,0.0,0.8883658999999999,0.1505526,0.7378133000000001,0.00036187080000000003,0.11394569999999998,0.1479869,-1.180793,4.193949,0.6824932,186,185,1,20.66939,-35.43736,56.10675,0.05043894,8.370948,10.95155,-1.3158940000000001,4.620364,5.099917,186,185,1,268.1284,29.85963,238.2688,0.1202202,32.940690000000004,41.504709999999996,0.5676361999999999,4.1247419999999995,129.0368,180,179,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,8.158324e-06,2.29135e-09,8.156033e-06,-6.603088e-10,1.113031e-06,1.522622e-06,2.074252,7.969436999999999,1.3145599999999998e-06,186,185,1,7.5,1.666667,5.8333330000000005,-0.007694299,1.150548,1.3476569999999999,-0.02194968,2.0724009999999997,5.884354,147,146,1,0
81392-002,0.0,0.8295036,0.22880029999999996,0.6007034000000001,-0.0005677392,0.1357762,0.1543344,0.29766040000000005,2.1059,0.47529849999999996,46,45,1,158.3724,-14.21972,172.5921,1.9492180000000001,35.42026,54.53976,2.1206720000000003,5.634215,17.67589,46,45,1,141.4777,36.36688,105.1108,0.37765820000000005,26.55327,31.37208,-0.2746128,2.088447,92.05904,30,29,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5.015424e-06,1.510473e-09,5.0139139999999995e-06,1.6690679999999999e-09,7.897904e-07,1.1814260000000001e-06,2.422172,8.074139,6.130423e-07,46,45,1,5.0,1.666667,3.333333,0.4761906,0.6122449999999999,1.2140520000000001,-1.3577270000000001,3.233727,4.285714,7,6,1,3
78080-003,0.0,0.9479259,0.1720493,0.7758765000000001,-0.002578146,0.20107629999999999,0.24474970000000004,0.12288160000000001,1.6503,0.5781614,106,105,1,460.517,-32.47189,492.9889,0.6575152,49.10331,85.42171,3.0739389999999998,12.21931,28.734309999999997,106,105,1,406.4535,64.64883,341.8047,-0.3020345,52.1465,67.72691,-0.1127702,3.1658169999999997,220.4131,79,78,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,8.84361e-06,2.925054e-10,8.843317e-06,-6.154973000000002e-09,1.136321e-06,1.677038e-06,2.734378,11.541139999999999,9.82332e-07,106,105,1,8.333333,0.8333333,7.5,0.09750713,1.221683,2.35479,0.5682520999999999,1.526063,4.179104,67,66,1,0
13691-007,0.0,0.8265646000000001,0.129361,0.6972036,0.001035434,0.1509606,0.1815836,-0.6807152,2.386652,0.5605423,145,144,1,306.8124,-25.143079999999998,331.9555,-0.1510567,15.895079999999998,40.483709999999995,6.103134,42.9001,7.6258740000000005,145,144,1,468.4354,33.23465,435.2007,2.696254,83.2674,126.3774,1.316584,3.245124,173.5258,103,102,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.01655e-05,1.1235719999999999e-09,1.0164379999999999e-05,-2.172942e-08,1.357479e-06,2.183246e-06,2.264532,7.929492,1.3776840000000001e-06,145,144,1,5.0,0.8333333,4.1666669999999995,0.02537555,0.6642412,1.087409,1.138506,2.959079,2.924528,106,105,1,0
95465-001,0.0,0.8630683000000001,0.2540317,0.6090366,-0.001967649,0.12882290000000002,0.1718299,-0.211945,1.795594,0.6177685,125,124,1,18.28094,-21.499670000000002,39.780609999999996,-0.11811889999999999,7.498047,10.0097,-0.40709850000000003,2.194756,3.6620980000000003,125,124,1,237.082,45.39007,191.6919,-0.2120374,33.8874,42.45292,-0.9628026,2.981281,143.603,113,112,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6.078997e-07,1.7917610000000001e-09,6.06108e-07,-1.51262e-10,1.0617219999999999e-07,1.269792e-07,0.9925002,3.332729,1.4096579999999998e-07,125,124,1,10.0,1.666667,8.333333,0.04956207,1.254104,1.8883169999999998,-0.33933850000000004,2.703721,7.441861,86,85,1,0
95465-007,0.0,0.883159,0.11175039999999999,0.7714085999999999,-0.0001469704,0.15689909999999999,0.1843827,-0.1885932,2.0297240000000003,0.5726147,395,394,1,460.517,-21.535429999999998,482.0524,0.04733729,29.79637,63.36703000000001,4.226337,22.35784,20.63343,395,394,1,444.1192,29.87862,414.2406,-0.1262578,41.37125,68.53175999999999,1.467243,6.858880999999999,158.4642,307,306,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.4865488,0.1621829,0.3243659,0.000346114,0.01321637,0.0376384,-7.483641,60.02879,0.48120209999999997,91,90,1,0.4865488,0.1621829,0.3243659,0.000346114,0.01321637,0.0376384,-7.483641,60.02879,0.48120209999999997,91,90,1,2.794834e-06,2.329976e-10,2.794601e-06,-3.326507e-10,1.560077e-07,2.862844e-07,5.52931,43.86143,1.569278e-07,395,394,1,8.333333,0.8333333,7.5,0.008291212,1.468618,1.883291,0.3831064,2.031428,4.382022,356,355,1,0
25066-008,0.0,0.8973968000000001,0.2300976,0.6672992,-0.0011616089999999999,0.11858540000000001,0.1622843,-0.4826544,2.4670009999999998,0.6202798,210,209,1,21.68806,-26.6818,48.369859999999996,-0.05916721,5.8425720000000005,8.554936,-0.3233296,3.466501,3.1933380000000002,210,209,1,220.8834,26.46815,194.4153,-0.1448723,26.62391,35.02528,0.5682107,3.143251,114.6165,180,179,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.4065550000000001e-05,1.908044e-10,1.406536e-05,-6.308073000000001e-09,1.3494739999999999e-06,2.161229e-06,3.051314,14.44215,1.3359469999999998e-06,210,209,1,5.0,0.8333333,4.1666669999999995,0.01150391,0.6166385999999999,0.9447656999999999,1.612532,4.66193,2.748538,171,170,1,0
87083-024,0.0,0.8429956000000001,0.1647079,0.6782876999999999,0.0003373506,0.1347415,0.1558576,-0.3800677,2.188392,0.5214794,191,190,1,150.7495,-20.02099,170.7705,-0.02201349,8.804257000000002,20.161620000000003,5.960445,44.160059999999994,1.9879259999999999,191,190,1,209.6782,26.05272,183.6254,-0.08116962,22.67548,35.24709,0.7067726,4.578074,91.66232,136,135,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.696732e-06,5.081023e-10,3.696224e-06,4.709218e-09,3.2087179999999995e-07,5.960928e-07,2.959308,13.48768,3.795767e-07,191,190,1,7.5,0.8333333,6.6666669999999995,0.01425253,1.171558,1.5619129999999999,0.05053618,2.624746,4.572369,152,151,1,0
56896-004,0.0,0.9065295,0.03506489,0.8714646,0.0001415536,0.12133730000000001,0.15443120000000002,-0.5569042,3.1266849999999997,0.6013485,625,624,1,460.517,-17.33018,477.8472,0.008431113,40.39148,72.96426,3.576147,16.57539,27.77125,625,624,1,482.6186,33.126290000000004,449.4923,0.08466218,69.259,87.74677,1.0818370000000002,4.0556849999999995,178.3116,562,561,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.4006224,0.1335408,0.2670816,4.4338779999999995e-05,0.004470662,0.01952826,-12.13928,155.8961,0.39889559999999996,232,231,1,0.4006224,0.1335408,0.2670816,4.4338779999999995e-05,0.004470662,0.01952826,-12.13928,155.8961,0.39889559999999996,232,231,1,3.083616e-06,2.840782e-10,3.083332e-06,-2.473222e-10,2.2601570000000003e-07,4.149129e-07,4.165643,23.126,1.975764e-07,625,624,1,11.66667,0.8333333,10.83333,-0.0040812109999999995,1.581597,2.090533,0.4273272,2.5435790000000003,4.914676,586,585,1,3
44209-008,0.0,0.9074945,0.1139588,0.7935356,-0.0009798785,0.1730825,0.22200250000000002,0.8062969,2.6295740000000003,0.4341281,246,245,1,460.517,-24.2357,484.7527,0.7295682,121.0546,167.7818,1.5966559999999999,3.798307,81.90295,246,245,1,233.033,55.82315,177.2099,-0.2742077,40.347879999999996,50.17537,-0.543717,2.1325220000000003,147.3871,102,101,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5.4414999999999995e-06,4.914205e-10,5.441008e-06,-2.6027670000000004e-09,3.9397019999999996e-07,6.737796999999999e-07,3.7350190000000003,21.54195,3.7317259999999995e-07,246,245,1,8.333333,0.8333333,7.5,0.004530118,1.592702,1.9365139999999998,0.3588383,1.956475,4.468599,207,206,1,0
